Id,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,Genre_new,country_chart,date_chart,position_chart
1n6l1bcpVPXbKd8FhrwxT3,27551.3,penantian berharga,Rizky Febian,single,indonesian pop,1316199.0,Penantian Berharga,2016-10-01,0.762,0.527,5,-5.678,1,0.0402,0.745,0.0,0.101,0.762,124.96,pop,Indonesia,2017-01-21,28.0
1nFfxe2VJdrnKdzwIMfNKz,10154.850000000002,anganku anganmu,Isyana Sarasvati - Raisa,album,indonesian indie,972830.0,Paradox,2017-09-01,0.4920000000000001,0.6890000000000001,0,-4.638,0,0.0346,0.424,1.04e-06,0.086,0.294,155.952,indie,Indonesia,2017-09-06,57.0
1nO67wic65N413c11zKxM7,158.8,silhouettes - original radio edit,Avicii,single,big room,18439913.0,Silhouettes,2012-01-01,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.07399999999998,house,Taiwan,2018-04-21,20.0
1nPMDcLKWTtGQH98waRTIk,231.65000000000003,faded in my last song,NCT U,album,k-pop,1980136.0,NCT RESONANCE Pt. 1 - The 2nd Album,2020-10-12,0.755,0.828,10,-3.11,0,0.0482,0.15,4.41e-06,0.112,0.6829999999999999,135.002,k-pop,Indonesia,2020-10-13,96.0
1nhMnpxfNIIkViyCDNQvNH,536.35,smile on my face,EXO,album,k-pop,6731265.0,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02,0.703,0.596,4,-6.603,1,0.0412,0.4,0.0,0.0907,0.5489999999999999,135.05700000000002,k-pop,Indonesia,2018-11-03,57.0
1oAWbr6TXkRajJKgSm1vF5,815.2000000000003,kasih tak sampai,Padi,album,indonesian indie,755553.0,Sesuatu Yang Tertunda,2001-06-20,0.281,0.207,2,-13.734000000000002,1,0.0396,0.963,0.0117,0.058,0.149,71.632,indie,Indonesia,2019-03-06,154.0
1oc3jna2ablnfIKLYbKujl,1219.2,if youre over me,Years & Years,album,dance pop,1491082.0,Palo Santo (Deluxe),2018-07-06,0.67,0.853,8,-4.515,1,0.0884,0.0622,0.0,0.0602,0.615,103.843,pop,UK,2018-07-10,6.0
1oyQ8SCnGbZHjKv25kvQo2,12261.099999999997,kau yang sembunyi,Hanin Dhiya,single,indonesian pop,788490.0,Kau Yang Sembunyi,2017-09-15,0.526,0.281,9,-9.383,1,0.0307,0.947,3.4899999999999995e-05,0.0779,0.206,127.803,pop,Indonesia,2017-11-13,57.0
1p1SbqeipOd4ezKUpxqaz6,3.2,"baby, you make me crazy",Sam Smith,album,pop,14303985.0,The Thrill Of It All (Special Edition),2017-11-03,0.513,0.648,5,-7.713999999999999,0,0.0994,0.00739,4.870000000000001e-05,0.176,0.4970000000000001,169.743,pop,Taiwan,2017-11-03,27.0
1pIMxRddmCGalHnRbLFkWg,90.4,have it all,Jason Mraz,single,acoustic pop,5653454.0,Have It All,2018-04-27,0.643,0.617,1,-4.95,0,0.041,0.192,0.0,0.0989,0.5920000000000001,82.029,pop,Taiwan,2018-05-06,10.0
